artist,song,duration_ms,explicit,year,popularity,key,tempo,genre
Christina Milian,AM To PM,231213,FALSE,2001,60,10,105.005,"hip hop, pop, R&B"
Roger Sanchez,Another Chance,452906,FALSE,2000,50,3,127.993,Dance/Electronic
Gorillaz,Clint Eastwood,340920,TRUE,2001,74,10,167.953,hip hop
2Pac,Until The End Of Time,266506,TRUE,2001,57,8,96.976,hip hop
Tamia,Stranger in My House,285386,FALSE,2000,48,0,119.94,"pop, R&B"
Mary J. Blige,No More Drama,326240,FALSE,2001,61,6,97.914,"pop, R&B"
Jennifer Lopez,Love Don't Cost a Thing,221226,FALSE,2001,67,4,97.577,"hip hop, pop, R&B"
Jamiroquai,Little L,295400,FALSE,2001,65,10,121.906,pop
Case,Missing You,284666,FALSE,2001,55,1,86.31,"hip hop, pop, R&B"
112,Peaches & Cream,193093,FALSE,2001,63,4,203.862,"hip hop, pop, R&B"
Five,Let's Dance - Radio Edit,218626,FALSE,2001,47,4,118.007,pop
Rui Da Silva,Touch Me (Radio Edit) [feat. Cassandra],213133,FALSE,2001,54,0,129.078,Dance/Electronic
Alien Ant Farm,Smooth Criminal,209266,FALSE,2001,75,9,126.928,"rock, metal"
Erick Sermon,Music (feat. Marvin Gaye),223133,TRUE,2001,57,10,100.01,"hip hop, pop"
D12,Purple Pills,304506,TRUE,2001,68,1,125.25,"hip hop, pop, rock"
Usher,Pop Ya Collar - Radio Edit,210813,FALSE,2016,26,5,106.957,"hip hop, pop, R&B"
Madonna,Don't Tell Me,280973,FALSE,2000,53,7,99.965,pop
Blue,If You Come Back,207560,FALSE,2001,58,10,78.375,pop
Atomic Kitten,Eternal Flame - Single Version,195506,FALSE,2001,58,0,83.293,pop
Jagged Edge,Where the Party At (feat. Nelly),232573,FALSE,2001,67,5,129.491,"hip hop, pop, R&B"
Afroman,Because I Got High,197760,TRUE,2001,68,7,166.01,hip hop
S Club 7,Don't Stop Movin',233626,FALSE,2001,63,7,117.033,pop
Craig David,Fill Me In,257200,FALSE,2000,60,8,132.493,"hip hop, pop, R&B"
Nelly Furtado,Turn Off The Light,276106,FALSE,2000,1,2,180.184,"hip hop, pop, latin"
The Supermen Lovers,Starlight - Radio Edit,234400,FALSE,2001,61,0,127.487,Dance/Electronic
